explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	w9 - Work from scientists in your country has benefited people like you	Not at all	all	30-49	686273	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	all	65+	686275	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	all	50-64	686276	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	all	Don't know/Refused	686279	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	all	all	686282	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	female	15-29	686283	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	female	30-49	686285	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	female	50-64	686287	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	female	65+	686289	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	female	Don't know/Refused	686291	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	female	all	686293	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	male	15-29	686295	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	male	50-64	686297	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	male	30-49	686298	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	male	65+	686301	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	male	Don't know/Refused	686303	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	male	all	686305	true

columns
	variableId
	676697
	676699
	676700
	676702
	676708
	676709
	676710
	676715
	676716
	676717
	676718
	676721
	676723
	676724
	676725
	676727
	676730
	676731
	676732
	676735
	676737
	676739
	676741
	676742
	676745
	676747
	676749
	676751
	676753
	676754
	676757
	676759
	676762
	676763
	676765
	676767
	676768
	676771
	676773
	676775
	676777
	676779
	676781
	676783
	676784
	676787
	676789
	676791
	676793
	676795
	676797
	676799
	676801
	676802
	676805
	676807
	676809
	676811
	676813
	676814
	676817
	676819
	676821
	676823
	676825
	676827
	676828
	676831
	676834
	676835
	676836
	676837
	676841
	676843
	676845
	676847
	676849
	676851
	676853
	676855
	676857
	676858
	676861
	676865
	676866
	676867
	676869
	676870
	676872
	676875
	676877
	676879
	676881
	676882
	676884
	676887
	676889
	676891
	676893
	676895
	676897
	676898
	676901
	676903
	676904
	676908
	676909
	676911
	676914
	676915
	676916
	676919
	676921
	676923
	676925
	676926
	676928
	676931
	676933
	676935
	676936
	676939
	676941
	676943
	676945
	676947
	676949
	676952
	676953
	676955
	676957
	676959
	676962
	676964
	676965
	676967
	676968
	676971
	676973
	676974
	676977
	676979
	676981
	676983
	676985
	676987
	676989
	676992
	676993
	676995
	676997
	677000
	677001
	677004
	677005
	677008
	677009
	677011
	677013
	677015
	677017
	677019
	677021
	677023
	677024
	677026
	677029
	677031
	677033
	677035
	677036
	677039
	677041
	677043
	677045
	677047
	677049
	677051
	677053
	677055
	677057
	677059
	677061
	677063
	677066
	677067
	677069
	677072
	677073
	677075
	677076
	677079
	677081
	677083
	677085
	677087
	677089
	677091
	677093
	677095
	677097
	677099
	677101
	677103
	677104
	677106
	677109
	677111
	677113
	677115
	677117
	677119
	677121
	677123
	677125
	677127
	677128
	677130
	677132
	677135
	677137
	677139
	677141
	677143
	677145
	677147
	677149
	677151
	677152
	677155
	677157
	677158
	677161
	677163
	677165
	677167
	677169
	677171
	677173
	677175
	677177
	677179
	677181
	677183
	677186
	677187
	677189
	677191
	677193
	677195
	677197
	677199
	677201
	677203
	677205
	677207
	677209
	677211
	677213
	677215
	677217
	677219
	677220
	677223
	677224
	677227
	677229
	677231
	677233
	677236
	677237
	677240
	677241
	677244
	677246
	677247
	677249
	677251
	677253
	677255
	677256
	677259
	677261
	677263
	677265
	677267
	677269
	677271
	677273
	677275
	677277
	677278
	677281
	677284
	677285
	677287
	677289
	677291
	677293
	677295
	677297
	677299
	677301
	677304
	677305
	677307
	677309
	677311
	677312
	677315
	677317
	677319
	677321
	677323
	677325
	677327
	677328
	677330
	677333
	677335
	677336
	677339
	677340
	677343
	677345
	677346
	677349
	677351
	677353
	677355
	677357
	677359
	677361
	677363
	677365
	677367
	677369
	677371
	677373
	677375
	677376
	677378
	677381
	677383
	677386
	677387
	677389
	677391
	677393
	677395
	677397
	677399
	677401
	677403
	677405
	677407
	677410
	677411
	677413
	677416
	677418
	677419
	677421
	677423
	677425
	677426
	677429
	677431
	677433
	677435
	677437
	677440
	677441
	677443
	677445
	677447
	677450
	677451
	677453
	677455
	677457
	677458
	677461
	677463
	677466
	677468
	677469
	677471
	677473
	677476
	677477
	677479
	677481
	677483
	677486
	677487
	677489
	677491
	677493
	677495
	677497
	677499
	677501
	677503
	677505
	677507
	677509
	677511
	677513
	677514
	677517
	677519
	677521
	677523
	677525
	677527
	677529
	677531
	677533
	677536
	677537
	677539
	677542
	677543
	677545
	677547
	677549
	677550
	677553
	677555
	677558
	677559
	677561
	677562
	677564
	677567
	677569
	677570
	677573
	677575
	677577
	677579
	677581
	677583
	677585
	677587
	677589
	677591
	677594
	677595
	677598
	677599
	677601
	677603
	677606
	677607
	677609
	677611
	677613
	677615
	677617
	677619
	677621
	677624
	677625
	677627
	677629
	677631
	677633
	677635
	677636
	677639
	677641
	677643
	677644
	677647
	677649
	677651
	677653
	677655
	677656
	677659
	677661
	677663
	677664
	677667
	677669
	677671
	677672
	677675
	677677
	677679
	677681
	677683
	677685
	677687
	677689
	677692
	677693
	677695
	677697
	677699
	677701
	677703
	677705
	677707
	677709
	677711
	677713
	677715
	677717
	677719
	677720
	677723
	677726
	677727
